Tittle,Company Name,Salary,Link
Graduate Electrical Controls Engineer - International Projects,SPEC Refinery (PVT) LTD,Full-time,https://pk.indeed.com/rc/clk?jk=dd500993d1009438&bb=7H4kN6PX_6OVpexkYX4-iWE47yCgmDKzkE_zcmHljZoUzuZXrhpCBz7wS0WbZvSIpQz9Qeh5cXJn-LCduNxFEJKc2NaBqYxSw4bD7TIRUnKmMsuGuWzzbFbGykq_nb7TNBu4e1yiSUcF6-LpFUgyuQ%3D%3D&xkcb=SoCa67M3sTO3hjTBHp0NbzkdCdPP&fccid=8ee198aa3fc57fc3&cmp=SPEC-Refinery-%28PVT%29-LTD&ti=Electrical+Engineer&vjs=3
Software Quality Assurance Engineer,Careaxiom,Full-time,https://pk.indeed.com/rc/clk?jk=ca1df5ec47b4167e&bb=7H4kN6PX_6OVpexkYX4-idXpUUpyXywsfhMkLv5gdc865tE1a-SiOgZ3bFOq4UJO6mvv9Z4Z9kOBDm92MD6-wqqHixqoSM4jhrJMD2pC8LU5FInqrvrAxtenKj_vSqYvZIGef64oB4K_NQQN6WZwwg%3D%3D&xkcb=SoAu67M3sTO3hjTBHp0MbzkdCdPP&fccid=ee2dcd17adad4820&vjs=3
Software Engineer - React JS,Dubizzle Labs,"Rs 100,000 - Rs 130,000 a month",https://pk.indeed.com/rc/clk?jk=191178314cbae3fc&bb=7H4kN6PX_6OVpexkYX4-ieeD0wTT54H75Eh86rU0ndyEvtIMhjuYEiy6NaIg_AKto4Uq3X9xFabmiFDxnvKMueeRZUxALLTuzRfP3rSDfxus-bAHOSHQYVFfG53rF7A2Kr6ceIO9VRPQSgbNRnjklg%3D%3D&xkcb=SoDH67M3sTO3hjTBHp0DbzkdCdPP&fccid=eadbc0847d45da27&vjs=3
SQA Engineer,Source of Services,Full-time,https://pk.indeed.com/rc/clk?jk=f6cc4db724b73239&bb=7H4kN6PX_6OVpexkYX4-icZ9CoZOPu_0QfqcKl5EhgA7d2xal61HV24nDKh2akeqjQRNI-sYyktg42O1Y3vhyGj3-M13B4MK4VM8PgxbBBawXjordiozK69xefEsBx77ePATsbj3HqL-vcUmf09oyA%3D%3D&xkcb=SoBz67M3sTO3hjTBHp0CbzkdCdPP&fccid=e30f913ba8557e47&cmp=Source-of-Services&ti=Quality+Assurance+Engineer&vjs=3
Software Engineer – Node.js,Web Sketchers,Full-time,https://pk.indeed.com/rc/clk?jk=ae9b90f105181e57&bb=7H4kN6PX_6OVpexkYX4-iYr3EfbkpPxB5PJ82F8rxOhV-w1w9zGPU2UiLn0plGLfIjIZ9BoDWb6v6CL9F5dX_9JUku9K4oqGyjse9OW5WcFQ-gYnK4m4-S1b87lhwF6VVkNk0lNGrIcP_bqbzqjXJQ%3D%3D&xkcb=SoDu67M3sTO3hjTBHp0BbzkdCdPP&fccid=e5f97fa160d358b2&vjs=3
AI/LLM Trainee Engineer,Architecture in Motion Inc.,Salary is not given,https://pk.indeed.com/rc/clk?jk=6788eb63a1663b2c&bb=7H4kN6PX_6OVpexkYX4-icZ9CoZOPu_03Z1QZZmLrenAKOQkkM6nlp5fKgUGIVHPk55sejNoCf3FjT60PlFt3Hq_Oc2gwtoOrV-AgQuPLzllabsoiu4VgHhkvSkNpOixEk4bHHXSFFdGgfAAPlpf8g%3D%3D&xkcb=SoBa67M3sTO3hjTBHp0AbzkdCdPP&fccid=774c568c81449ee8&vjs=3
Software Engineer,Bilytica,Salary is not given,https://pk.indeed.com/rc/clk?jk=1bc4ad14883f773a&bb=7H4kN6PX_6OVpexkYX4-iXptdnYp10Xi7wfgkrJzfFfNw7RKiiVqWtjM7iaIokg7Qj8Kzn9ZUHa6rAAfHUk9CAEtVNpv8nHYATYfSv7aDf79TKxyYrDX9DHxggQTIPIngFAwQYuDS_ZSU-slEg1qsA%3D%3D&xkcb=SoDU67M3sTO3hjTBHp0HbzkdCdPP&fccid=1b1e4c94a8dcc4cd&vjs=3
Junior/Intern DevOps Engineer,Cube discipline,Salary is not given,https://pk.indeed.com/rc/clk?jk=064c7d4fc1b2a95f&bb=7H4kN6PX_6OVpexkYX4-iRRza0BGbWQ5VIRxPOWmcs3RglSbzwemcT6ehbGFJ4WIR0H_5d914-2dWhHpwZH5aJxhijq3kvHrPe3b4ZqWGRGMVdCLiZMmlBMgFiqWMfyWlCLVyxdbkF9UAByZmFmZYw%3D%3D&xkcb=SoBg67M3sTO3hjTBHp0GbzkdCdPP&fccid=a3070af0805ede84&cmp=Cube-Discipline&ti=Devops+Engineer&vjs=3
Software Test Engineer,PakWheels,Salary is not given,https://pk.indeed.com/rc/clk?jk=de6eba2cae769a98&bb=7H4kN6PX_6OVpexkYX4-ibmDMMyrpJCiSNYtFXNpz-pb80OMLU_9ryeNLzUGmdip6ez5DyTD-NYAr6C_v64GfgeHeKNlsx0H3xwz6BDwYlwO3cfGP79xSOSnEUVk3UPYznFUdxltYewxMdKqcqqW2w%3D%3D&xkcb=SoD967M3sTO3hjTBHp0FbzkdCdPP&fccid=04963aa30de3a50e&vjs=3
Full Stack Software Engineer,Beaconhouse National University,"Rs 40,000 - Rs 60,000 a month",https://pk.indeed.com/rc/clk?jk=8664ce75d009feeb&bb=__5piZHjS73Fw9o1E_gh9fQ0lX_YaNrHmCmaW4wrZBGW7S2hWwWmaS6S_Z9SJlh7FKjyv4QjmmRMH8uM8CsB-XeAG8r-WZBKjmZWOV2HdAdOBtOpPi6zMtb7r60xIODxIT-Dn-35GimdnLhWNGwbhw%3D%3D&xkcb=SoBt67M3sTOzltTBHp0LbzkdCdPP&fccid=b999cc6b29031e33&vjs=3
