Name,Rating,Year,Duration,Reviews
211. Logan,8.1,2017,2h 17m, (904K)
212. On the Waterfront,8.1,1954,1h 48m, (175K)
213. Rocky,8.1,1976,2h, (671K)
214. Wild Strawberries,8.1,1957,1h 32m, (122K)
215. Tokyo Story,8.1,1953,2h 17m, (76K)
216. The Third Man,8.1,1949,1h 44m, (192K)
217. Pirates of the Caribbean: The Curse of the Black Pearl,8.1,2003,2h 23m, (1.3M)
218. Spotlight,8.1,2015,2h 9m, (525K)
219. Maharaja,8.4,2024,2h 21m, (75K)
220. The Terminator,8.1,1984,1h 47m, (979K)
221. La haine,8.1,1995,1h 38m, (217K)
222. The Big Lebowski,8.1,1998,1h 57m, (901K)
223. Jai Bhim,8.6,2021,2h 44m, (229K)
224. The Seventh Seal,8.1,1957,1h 36m, (212K)
225. Room,8.1,2015,1h 58m, (473K)
226. Hotel Rwanda,8.1,2004,2h 1m, (387K)
227. Platoon,8.1,1986,2h, (462K)
228. The Best Years of Our Lives,8.1,1946,2h 50m, (76K)
229. The Sound of Music,8.1,1965,2h 54m, (282K)
230. Before Sunset,8.1,2004,1h 20m, (307K)
231. The Exorcist,8.1,1973,2h 2m, (486K)
232. The Incredibles,8.0,2004,1h 55m, (873K)
233. Hachi: A Dog's Tale,8.1,2009,1h 33m, (334K)
234. A Silent Voice: The Movie,8.2,2016,2h 10m, (129K)
235. Rush,8.1,2013,2h 3m, (546K)
236. The Wizard of Oz,8.1,1939,1h 42m, (457K)
237. The Passion of Joan of Arc,8.1,1928,1h 54m, (66K)
238. Stand by Me,8.1,1986,1h 29m, (473K)
239. The Iron Giant,8.1,1999,1h 26m, (251K)
240. My Father and My Son,8.2,2005,1h 52m, (99K)
241. The Handmaiden,8.1,2016,2h 25m, (194K)
242. Network,8.1,1976,2h 1m, (182K)
243. The Battle of Algiers,8.1,1966,2h 1m, (73K)
244. Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,8.2,2020,1h 57m, (92K)
245. The Grapes of Wrath,8.1,1940,2h 9m, (107K)
246. To Be or Not to Be,8.1,1942,1h 39m, (48K)
247. Gangs of Wasseypur,8.2,2012,5h 21m, (110K)
248. The Help,8.1,2011,2h 26m, (520K)
249. Into the Wild,8.0,2007,2h 28m, (687K)
250. Soorarai Pottru,8.6,2020,2h 33m, (130K)
